case_id,case_name,event_name,input_scale,control_mode,source_file,method_order,method_key,method_name,method_stage,operator_key,operator_name,dynamic_path_enabled,response_feedback_enabled,input_mode,boundary_floor,target_floor_no,target_floor,evolved_av_next_vs_measured_av_corr,evolved_abs_av_next_vs_measured_abs_av_corr,one_step_av_evolution_residual_rmse,target_hit_power_alignment_corr,signed_hit_power_vs_signed_av_corr,target_hit_power_peak_time_seconds,measured_abs_a_times_v_peak_time_seconds,target_hit_power_peak_time_offset_seconds,w_hit_final,work_capacity_scale,hit_work_capacity_final,displacement_side_work_final,manifested_work_ratio,unmanifested_work_margin,measured_abs_work_final,measured_signed_work_final,max_downstream_response_envelope,downstream_response_peak_time_seconds,hidden_work_proxy_mean
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,3,3F,0.6933405765592384,0.9551975345553708,0.08199966878975733,0.9551975345553708,0.6933405765592384,10.81542968280066,10.810546898183423,0.004882784617237235,1.1864645503247755,1.654114507076246,1.962548224823906,1.8690935474513388,0.952380952380467,0.04761904761953295,1.8690935474513388,-0.1365994809389454,4.173875952651221,10.781249989974738,0.9511334732240502
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,1,1F,0.11563736621375391,0.5355585460065945,0.03668807254381443,0.5355585460065945,0.11563736621375391,9.272460921522239,6.831054657737499,2.4414062637847396,0.17825894009706106,13.819037978861749,2.463367063272928,0.6879979756553128,0.27929170033674633,0.7207082996632537,0.6879979756553128,-0.05566872277611637,2.773846247173891,6.870117175281711,0.9345868664861099
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,2,2F,-0.13027746615459326,0.6270329621399601,0.10960359620850546,0.6270329621399601,-0.13027746615459326,9.794921843044472,6.8359374824557895,2.9589843605886825,0.16430793271850483,13.819037978861749,2.270577562465279,2.162454821395504,0.9523809523805329,0.047619047619467114,2.162454821395504,-0.10501916236151936,2.8042711897075323,6.875000000000001,0.935186937633619
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,3,3F,0.162808840649363,0.6490266673879288,0.18352793917228136,0.6490266673879288,0.162808840649363,6.8359374824557895,6.918945302161448,-0.08300781970565829,0.3454309323928482,13.819037978861749,4.7735231738103945,3.75606632448386,0.7868541091599747,0.21314589084002533,3.75606632448386,-0.13733036990440156,2.802080947343487,6.879882784617236,0.9342831368963707
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,1,1F,0.153732527775898,0.7817307769695763,0.03825323126210099,0.7817307769695763,0.153732527775898,6.655273408990657,6.831054657737499,-0.17578124874684242,0.2683010338543313,22.207012424520688,5.958164392314881,0.6879979756553128,0.115471465765968,0.884528534234032,0.6879979756553128,-0.05566872277611637,2.773846247173891,6.870117175281711,0.9345868664861099
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,2,2F,0.039639389905954434,0.7881835294365641,0.10815429469589526,0.7881835294365641,0.039639389905954434,9.794921843044472,6.8359374824557895,2.9589843605886825,0.24210108377058207,22.207012424520688,5.376341775283239,2.162454821395504,0.40221676965117753,0.5977832303488224,2.162454821395504,-0.10501916236151936,2.8042711897075323,6.875000000000001,0.9351869376195029
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,3,3F,-0.05433623110934931,0.5271086054820716,0.1869925818424212,0.5271086054820716,-0.05433623110934931,10.795898424028552,6.918945302161448,3.8769531218671043,0.17759568758349883,22.207012424520688,3.943869640708053,3.75606632448386,0.9523809523807109,0.047619047619289145,3.75606632448386,-0.13733036990440156,2.802080947343487,6.879882784617236,0.9342825598075267
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,1,1F,0.7330233538978337,0.9074018134417561,0.08792754566991495,0.9074018134417561,0.7330233538978337,6.8359374824557895,6.831054657737499,0.0048828247182903795,2.2670854517079193,1.8328530930360194,4.155234582339821,0.6879979756553128,0.16557379902911143,0.8344262009708886,0.6879979756553128,-0.05566872277611637,2.773846247173891,6.870117175281711,0.9345868664861099
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,2,2F,0.7851004896226578,0.9739844558805144,0.07036007218824804,0.9739844558805144,0.7851004896226578,6.8359374824557895,6.8359374824557895,0.0,2.187668222800233,1.8328530930360194,4.009674468696018,2.162454821395504,0.5393093225590989,0.4606906774409011,2.162454821395504,-0.10501916236151936,2.8042711897075323,6.875000000000001,0.9352415536363727
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,3,3F,0.7399057023041022,0.9735303726716192,0.12924659237575917,0.9735303726716192,0.7399057023041022,6.923828126879736,6.918945302161448,0.004882824718288603,2.1517652755111167,1.8328530930360194,3.9438696407080527,3.75606632448386,0.952380952380711,0.047619047619289034,3.75606632448386,-0.13733036990440156,2.802080947343487,6.879882784617236,0.9348210990026554
